id,device_name,device_type,manufacturer,model,building,room,floor,ip_address,mac_address,status,firmware_version,last_ping,assigned_tech,install_date,warranty_expiry,notes
EQ-001,Crestron DM-NVX-350,Video Switcher,Crestron,DM-NVX-350,Bobst Library,LL1-03,LL1,10.18.4.101,00:1E:C0:A1:34:5F,Online,6.0.1.34,2026-06-18 09:42:11,Alex Rivera,2024-08-15,2027-08-15,Main AV distribution hub for LL1 lecture hall
EQ-002,Biamp Tesira SERVER-IO,DSP,Biamp,Tesira SERVER-IO,Kimmel Center,802,8,10.18.6.55,00:90:5E:12:AB:C3,Online,4.12.0,2026-06-18 09:41:58,Sam Patel,2024-03-20,2027-03-20,Handles audio routing for 8th floor event spaces
EQ-003,Epson Pro L1755U,Projector,Epson,Pro L1755U,Stern School of Business,310,3,10.18.8.22,00:26:AB:7D:E1:90,Standby,1.04,2026-06-18 08:15:30,Jordan Lee,2025-01-10,2028-01-10,15000 lumen laser projector — room 310 main display
EQ-004,QSC Q-SYS Core 110f,DSP,QSC,Q-SYS Core 110f,Tandon School of Engineering,LC-400,4,10.19.2.10,00:60:74:3F:22:B1,Online,9.10.1,2026-06-18 09:43:01,Alex Rivera,2024-11-05,2027-11-05,Core processor for Tandon lecture capture system
EQ-005,Extron SW4 HD 4K PLUS,Video Switcher,Extron,SW4 HD 4K PLUS,Silver Center,503,5,10.18.3.88,00:05:A6:55:CD:12,Offline,1.03.0001,2026-06-17 22:10:44,Priya Nair,2023-09-01,2026-09-01,ALERT: Device offline since 6/17 — ticket #AV-2891 open
EQ-006,Samsung QM85R-B,Display,Samsung,QM85R-B,Courant Institute,109,1,10.18.5.130,F4:7B:09:A0:11:CE,Online,1220.5,2026-06-18 09:40:05,Sam Patel,2025-05-22,2028-05-22,85-inch 4K display — lobby digital signage
EQ-007,Shure MXA920 Ceiling Mic,Microphone System,Shure,MXA920,Tisch School of the Arts,B-50,B,10.18.7.201,00:0E:DD:89:FA:44,Online,5.1.14,2026-06-18 09:42:47,Casey Lin,2025-02-14,2028-02-14,Ceiling array mic — black box theater
EQ-008,Christie DWU850-GS,Projector,Christie,DWU850-GS,Palladium Athletic Facility,Gym-A,1,10.18.9.15,00:12:3F:BB:90:A7,Standby,1.8.0,2026-06-18 07:55:00,Jordan Lee,2024-06-30,2027-06-30,Event projector — only powered on for scheduled events
EQ-009,Sennheiser TeamConnect Bar,Microphone System,Sennheiser,TeamConnect Ceiling 2,Bobst Library,619,6,10.18.4.175,00:1B:66:C4:22:DD,Online,1.12.0,2026-06-18 09:43:12,Priya Nair,2025-07-01,2028-07-01,Conference room ceiling mic — Dante networked
EQ-010,LG LSAB012-M4 LED Wall,Display,LG,LSAB012-M4,Kimmel Center,Lobby,1,10.18.6.240,A8:23:FE:01:5B:39,Offline,04.02.10,2026-06-16 18:30:22,Casey Lin,2024-12-01,2027-12-01,ALERT: LED controller unresponsive — hardware team notified
